tid,posy,posz,vely,velz,accy,accz,pointx1,pointy1,pointz1,doppler1,snr1,pointx2,pointy2,pointz2,doppler2,snr2,pointx3,pointy3,pointz3,doppler3,snr3,pointx4,pointy4,pointz4,doppler4,snr4,pointx5,pointy5,pointz5,doppler5,snr5,pointx6,pointy6,pointz6,doppler6,snr6,pointx7,pointy7,pointz7,doppler7,snr7,pointx8,pointy8,pointz8,doppler8,snr8,pointx9,pointy9,pointz9,doppler9,snr9,pointx10,pointy10,pointz10,doppler10,snr10,pointx11,pointy11,pointz11,doppler11,snr11
0.0,1.910012364387512,-0.761803549528122,-0.0126521615311503,0.246872529387474,-0.0685139372944831,0.2243712842464447,0.0,1.7470121383666992,-0.6470529556274415,-0.1917510479688644,14.0,0.0,1.818180084228516,-0.5680171966552734,-0.1917510479688644,16.25,0.0,1.9093751907348635,-0.623807144165039,0.1917510479688644,13.25,0.0,1.615762710571289,-1.117691230773926,0.0,18.75,0.0,1.7334222793579102,-1.1234132766723635,0.0,21.5,0.0,2.100706100463867,-1.1402217864990236,0.0,14.0,0.0,2.0170211791992188,-0.7217971801757812,0.0,24.5,0.0,2.055644989013672,-0.7150022506713867,0.0,26.75,,,,,,,,,,,,,,,
0.0,1.9094597101211548,-0.7451550483703613,-0.0155046684667468,0.2759568691253662,-0.0753348618745803,0.2500384151935577,0.0,2.0159482955932617,-0.6534902572631835,0.1917510479688644,12.25,0.0,1.7881393432617188,-0.5647985458374023,-0.1917510479688644,15.5,0.0,1.868605613708496,-0.5340425491333006,-0.1917510479688644,20.0,0.0,1.9254684448242188,-0.6012765884399415,-0.1917510479688644,19.25,0.0,1.6189813613891602,-1.098021697998047,0.0,18.5,0.0,1.805663108825684,-0.9975282669067383,0.0,21.25,0.0,2.126455307006836,-1.0143367767333982,0.0,15.25,0.0,2.019882202148437,-0.6806699752807617,0.0,25.75,0.0,2.0581483840942383,-0.716432762145996,0.0,27.25,,,,,,,,,,
0.0,1.9190150499343872,-0.7059389173984527,0.0063232742249965,0.3224842548370361,-0.0308832079172134,0.2691227197647095,0.0,2.0166635513305664,-0.7890312194824219,0.1917510479688644,18.75,0.0,2.019524574279785,-0.6828157424926756,0.1917510479688644,22.5,0.0,1.99270248413086,-0.4253236770629883,0.1917510479688644,17.0,0.0,1.6003847122192385,-1.1180488586425783,0.0,18.5,0.0,1.7573833465576172,-1.0497419357299806,0.0,20.0,0.0,2.147197723388672,-1.0214893341064455,0.0,15.25,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.930161952972412,-0.665055301785469,0.0400737673044204,0.3656313717365265,0.0318764746189117,0.2826796174049377,0.0,1.8171072006225584,-0.7965414047241212,0.1917510479688644,16.25,0.0,1.944780349731445,-0.6770936965942381,0.1917510479688644,26.0,0.0,1.9855499267578125,-0.6316749572753906,0.1917510479688644,28.75,0.0,2.009153366088867,-0.575885009765625,0.1917510479688644,23.5,0.0,1.6225576400756836,-1.129135322570801,0.0,19.75,0.0,1.854658126831055,-0.7897464752197264,0.0,23.25,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.9401367902755733,-0.6434210807085037,0.0713154077529907,0.3637345731258392,0.085558146238327,0.2530290484428406,0.0,1.7101764678955078,-0.9403078079223633,0.1917510479688644,13.5,0.0,1.889348030090332,-0.8076278686523436,0.1917510479688644,18.5,0.0,1.9884109497070312,-0.6531326293945312,0.1917510479688644,22.0,0.0,2.040982246398926,-0.6059257507324217,0.1917510479688644,16.75,0.0,1.639723777770996,-1.039728355407715,0.0,22.75,0.0,1.7802715301513672,-0.9023992538452149,0.0,24.75,0.0,1.9823312759399407,-0.5297510147094726,0.0,25.5,0.0,2.041339874267578,-0.5351154327392579,0.0,24.75,,,,,,,,,,,,,,,
0.0,1.9261806011199951,-0.6330735802650451,0.0282058790326118,0.3348712623119354,0.01205425709486,0.2052311450242996,0.0,1.7577409744262695,-0.8001176834106444,-0.1917510479688644,15.0,0.0,1.7913579940795898,-0.7282344818115234,-0.1917510479688644,19.25,0.0,1.8568038940429688,-0.5851833343505859,-0.1917510479688644,13.25,0.0,1.6068220138549805,-1.107320022583008,0.0,23.75,0.0,1.698017120361328,-1.084431838989258,0.0,25.75,0.0,2.038836479187012,-0.4700271606445312,0.0,23.75,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.9200855493545528,-0.6057086706161499,-0.0078457631170749,0.3413277864456177,-0.0510187223553657,0.1943203657865524,0.0,1.850724220275879,-0.6670801162719726,-0.1917510479688644,18.5,0.0,1.947283744812012,-0.5977003097534179,-0.1917510479688644,28.25,0.0,1.980185508728028,-0.590547752380371,-0.1917510479688644,30.75,0.0,2.009153366088867,-0.6052104949951171,-0.1917510479688644,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.910594463348389,-0.5946526050567627,-0.0438491329550743,0.316974937915802,-0.100047692656517,0.1569650769233703,0.0,1.80816650390625,-0.758990478515625,-0.1917510479688644,19.0,0.0,1.920461654663086,-0.6266681671142579,-0.1917510479688644,27.25,0.0,1.9698143005371087,-0.6005613327026367,-0.1917510479688644,29.0,0.0,2.022743225097656,-0.6384698867797851,-0.1917510479688644,23.75,0.0,1.5635490417480469,-1.05117244720459,0.0,16.75,0.0,1.5932321548461914,-1.092657279968262,0.0,27.25,0.0,2.0856857299804688,-1.1502353668212892,0.0,12.75,,,,,,,,,,,,,,,,,,,,
0.0,1.8940160274505613,-0.6000303000211715,-0.0802566334605217,0.2663266658782959,-0.1340288519859314,0.1006589233875274,0.0,1.7584562301635742,-0.8033363342285156,-0.1917510479688644,13.25,0.0,1.8482208251953125,-0.7239429473876954,-0.1917510479688644,18.0,0.0,1.9286870956420896,-0.636324119567871,-0.1917510479688644,16.75,0.0,1.554250717163086,-1.0737030029296877,0.0,17.75,0.0,1.578569412231445,-1.1230556488037111,0.0,28.0,0.0,2.050638198852539,-1.2829153060913083,0.0,12.75,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.892139673233032,-0.6270215779542923,-0.0899958685040474,0.1852882206439972,-0.1367667913436889,0.0239814445376396,0.0,1.9551515579223635,-0.9006111145019532,-0.1917510479688644,22.25,0.0,2.0116567611694336,-0.8022634506225585,-0.1917510479688644,28.75,0.0,2.025961875915528,-0.7264463424682617,-0.1917510479688644,25.25,0.0,1.554250717163086,-1.0754911422729494,0.0,17.25,0.0,1.590728759765625,-1.1173336029052736,0.0,27.75,0.0,2.040266990661621,-1.2761203765869142,0.0,13.75,,,,,,,,,,,,,,,,,,,,,,,,,
