tid,posx,posy,posz,velx,vely,velz,accx,accy,accz,pointx1,pointy1,pointz1,doppler1,snr1,pointx2,pointy2,pointz2,doppler2,snr2,pointx3,pointy3,pointz3,doppler3,snr3,pointx4,pointy4,pointz4,doppler4,snr4,pointx5,pointy5,pointz5,doppler5,snr5,pointx6,pointy6,pointz6,doppler6,snr6
0.0,0.0405326858162879,2.986368656158448,-0.4499764989534014,0.0519717633724212,0.0841659903526306,-2.564195892773569e-05,0.0316035784780979,0.0277596246451139,-1.705833346932195e-05,0.0,3.025531768798828,-0.4675237655639648,0.0,17.75,0.0,3.0809640884399414,-0.4103033065795899,0.0,19.5,0.0,3.167152404785156,-0.34628791809082027,0.0,15.0,,,,,,,,,,,,,,,
0.0,0.0409477241337299,2.98978590965271,-0.4499767648805572,0.0525589287281036,0.0883018001914024,-2.641528408275917e-05,0.0319717861711978,0.0309074334800243,-1.7517579181003384e-05,0.0,3.146052360534668,-0.4027931213378907,0.1917510479688644,12.5,0.0,3.011941909790039,-0.5032865524291992,0.0,18.0,0.0,3.08382511138916,-0.461444091796875,0.0,19.5,0.0,3.180384635925293,-0.3681032180786133,0.0,15.5,,,,,,,,,,
0.0,0.0409477241337299,2.98978590965271,-0.4499767648805572,0.0525589287281036,0.0883018001914024,-2.641528408275917e-05,0.0319717861711978,0.0309074334800243,-1.7517579181003384e-05,0.0,3.01516056060791,-0.47145767211914047,0.0,17.75,0.0,3.0759572982788086,-0.452145767211914,0.0,19.25,0.0,3.166437149047852,-0.3799049377441407,0.0,15.0,,,,,,,,,,,,,,,
0.0,0.04684629291296,2.989152669906616,-0.4499777651173644,0.0609441734850406,0.0900461077690124,-2.6351735868956894e-05,0.0377551615238189,0.0348673351109027,-1.7286487491219305e-05,0.0,2.9125213623046875,-0.2100317001342775,0.1917510479688644,14.0,0.0,3.001928329467773,-0.45321865081787094,0.0,16.75,,,,,,,,,,,,,,,,,,,,
0.0,0.04684629291296,2.989152669906616,-0.4499777651173644,0.0609441734850406,0.0900461077690124,-2.6351735868956894e-05,0.0377551615238189,0.0348673351109027,-1.7286487491219305e-05,0.0,3.083467483520508,-0.3566591262817383,0.0,18.5,0.0,3.1718015670776367,-0.3956405639648438,0.0,14.75,0.0,3.0069351196289062,-0.3384201049804687,0.0,17.0,,,,,,,,,,,,,,,
0.0,0.04684629291296,2.989152669906616,-0.4499777651173644,0.0609441734850406,0.0900461077690124,-2.6351735868956894e-05,0.0377551615238189,0.0348673351109027,-1.7286487491219305e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.04684629291296,2.989152669906616,-0.4499777651173644,0.0609441734850406,0.0900461077690124,-2.6351735868956894e-05,0.0377551615238189,0.0348673351109027,-1.7286487491219305e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.04684629291296,2.989152669906616,-0.4499777651173644,0.0609441734850406,0.0900461077690124,-2.6351735868956894e-05,0.0377551615238189,0.0348673351109027,-1.7286487491219305e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.045236736536026,2.987913131713867,-0.4499788308196002,0.058967150747776,0.0915252119302749,-2.623574619065039e-05,0.0365949906408786,0.0391984172165393,-1.6980637155938894e-05,0.0,2.8864145278930664,-0.45965595245361324,0.1917510479688644,12.75,0.0,2.8781890869140625,-0.47288818359375,0.0,12.5,,,,,,,,,,,,,,,,,,,,
0.0,0.0536807067692279,2.990668535232544,-0.4499790839956404,0.0707122236490249,0.0947805568575859,-2.6784213332575742e-05,0.044504839926958,0.0415130853652954,-1.732194868964143e-05,0.0,3.104209899902344,-0.08843822479248059,0.1917510479688644,14.75,0.0,2.878904342651367,-0.4414169311523438,0.0,12.25,,,,,,,,,,,,,,,,,,,,
0.0,0.0591166764497756,2.99744725227356,-0.4499793191673233,0.0782917439937591,0.1017823368310928,-2.834908445947804e-05,0.0495778508484363,0.0455097742378711,-1.8333177649765275e-05,0.0,3.146052360534668,-0.3119556427001952,0.1917510479688644,16.75,0.0,3.185391426086426,-0.2844182968139648,0.1917510479688644,15.75,,,,,,,,,,,,,,,,,,,,
0.0,0.0665311142802238,3.003769874572754,-0.4499795526709931,0.0886212363839149,0.1079722791910171,-2.988661071867682e-05,0.0565145388245582,0.0485907979309558,-1.933449129865039e-05,0.0,3.154277801513672,-0.2468673706054689,0.1917510479688644,15.5,0.0,3.177165985107422,-0.2482978820800784,0.1917510479688644,13.75,,,,,,,,,,,,,,,,,,,,
0.0,0.0665311142802238,3.003769874572754,-0.4499795526709931,0.0886212363839149,0.1079722791910171,-2.988661071867682e-05,0.0565145388245582,0.0485907979309558,-1.933449129865039e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
