tid,posx,posy,posz,velx,vely,velz,accx,accy,accz,pointx1,pointy1,pointz1,doppler1,snr1,pointx2,pointy2,pointz2,doppler2,snr2,pointx3,pointy3,pointz3,doppler3,snr3,pointx4,pointy4,pointz4,doppler4,snr4,pointx5,pointy5,pointz5,doppler5,snr5,pointx6,pointy6,pointz6,doppler6,snr6,pointx7,pointy7,pointz7,doppler7,snr7,pointx8,pointy8,pointz8,doppler8,snr8,pointx9,pointy9,pointz9,doppler9,snr9,pointx10,pointy10,pointz10,doppler10,snr10,pointx11,pointy11,pointz11,doppler11,snr11
0.0,0.000546513707377,2.951014995574951,-1.084145176410675,-0.000298956525512,0.0223532766103744,-0.0676653534173965,-0.0001721719163469,0.0955951660871505,-0.0805902481079101,0.0,2.783775329589844,-0.949094581604004,0.0,21.75,0.0,2.6764869689941406,-0.7752874374389648,0.0,16.5,0.0,2.7376413345336914,-0.8729198455810547,0.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.000546513707377,2.951014995574951,-1.084145176410675,-0.000298956525512,0.0223532766103744,-0.0676653534173965,-0.0001721719163469,0.0955951660871505,-0.0805902481079101,0.0,2.6575326919555664,-0.8464553833007813,0.0,16.75,0.0,2.741575241088867,-0.847170639038086,0.0,22.25,0.0,2.797722816467285,-0.9222724914550782,0.0,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.000546513707377,2.951014995574951,-1.084145176410675,-0.000298956525512,0.0223532766103744,-0.0676653534173965,-0.0001721719163469,0.0955951660871505,-0.0805902481079101,0.0,2.7937889099121094,-0.9612539291381836,0.0,21.5,0.0,2.6682615280151367,-0.8546808242797852,0.0,16.0,0.0,2.7365684509277344,-0.903318214416504,0.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.000546513707377,2.951014995574951,-1.084145176410675,-0.000298956525512,0.0223532766103744,-0.0676653534173965,-0.0001721719163469,0.0955951660871505,-0.0805902481079101,0.0,2.6378631591796875,-0.9347894668579102,0.0,15.0,0.0,2.7201175689697266,-0.9533861160278321,0.0,21.0,0.0,2.793431282043457,-0.994870948791504,0.0,20.0,0.0,2.9196739196777344,-1.0778406143188477,0.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.000546513707377,2.951014995574951,-1.084145176410675,-0.000298956525512,0.0223532766103744,-0.0676653534173965,-0.0001721719163469,0.0955951660871505,-0.0805902481079101,0.0,2.937555313110352,-1.0570981979370118,0.0,16.0,0.0,2.654671669006348,-0.8285739898681641,0.0,13.75,0.0,2.7598142623901367,-0.7781484603881836,0.0,19.25,0.0,2.829551696777344,-0.9183385848999024,0.0,18.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.000546513707377,2.951014995574951,-1.084145176410675,-0.000298956525512,0.0223532766103744,-0.0676653534173965,-0.0001721719163469,0.0955951660871505,-0.0805902481079101,0.0,2.804875373840332,-0.8886554718017579,0.0,20.5,0.0,2.9239654541015625,-0.9573200225830079,0.0,15.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.000546513707377,2.951014995574951,-1.084145176410675,-0.000298956525512,0.0223532766103744,-0.0676653534173965,-0.0001721719163469,0.0955951660871505,-0.0805902481079101,0.0,2.9397010803222656,-1.0148981094360352,0.0,15.75,0.0,2.82132625579834,-0.8593299865722657,0.0,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.000546513707377,2.951014995574951,-1.084145176410675,-0.000298956525512,0.0223532766103744,-0.0676653534173965,-0.0001721719163469,0.0955951660871505,-0.0805902481079101,0.0,2.805948257446289,-0.9462335586547852,0.0,21.25,0.0,2.9010772705078125,-1.0377862930297852,0.0,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.000546513707377,2.951014995574951,-1.084145176410675,-0.000298956525512,0.0223532766103744,-0.0676653534173965,-0.0001721719163469,0.0955951660871505,-0.0805902481079101,0.0,2.7941465377807617,-0.9805658340454102,0.0,21.75,0.0,2.9000043869018555,-1.0467269897460938,0.0,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.000546513707377,2.951014995574951,-1.084145176410675,-0.000298956525512,0.0223532766103744,-0.0676653534173965,-0.0001721719163469,0.0955951660871505,-0.0805902481079101,0.0,2.908945083618164,-1.0517337799072266,0.0,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.000546513707377,2.951014995574951,-1.084145176410675,-0.000298956525512,0.0223532766103744,-0.0676653534173965,-0.0001721719163469,0.0955951660871505,-0.0805902481079101,0.0,2.901792526245117,-1.0452964782714844,0.0,17.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.000546513707377,2.951014995574951,-1.084145176410675,-0.000298956525512,0.0223532766103744,-0.0676653534173965,-0.0001721719163469,0.0955951660871505,-0.0805902481079101,0.0,2.891063690185547,-1.0882118225097657,0.0,17.0,0.0,2.8023719787597656,-0.928352165222168,0.0,21.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.000546513707377,2.951014995574951,-1.084145176410675,-0.000298956525512,0.0223532766103744,-0.0676653534173965,-0.0001721719163469,0.0955951660871505,-0.0805902481079101,0.0,2.7991533279418945,-0.9759166717529297,0.0,21.75,0.0,2.897500991821289,-1.089642333984375,0.0,16.75,0.0,2.658247947692871,-0.8707740783691407,0.0,16.0,0.0,2.742648124694824,-0.8854368209838868,0.0,21.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.000546513707377,2.951014995574951,-1.084145176410675,-0.000298956525512,0.0223532766103744,-0.0676653534173965,-0.0001721719163469,0.0955951660871505,-0.0805902481079101,0.0,2.864241600036621,-1.1797645568847657,0.0,15.5,0.0,2.628207206726074,-0.9355047225952149,0.0,15.5,0.0,2.7780532836914062,-1.0367134094238282,0.0,20.5,0.0,2.7315616607666016,-0.9083250045776368,0.0,20.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.000546513707377,2.951014995574951,-1.084145176410675,-0.000298956525512,0.0223532766103744,-0.0676653534173965,-0.0001721719163469,0.0955951660871505,-0.0805902481079101,0.0,2.884984016418457,-1.160452651977539,0.0,15.75,0.0,2.8030872344970703,-0.9744861602783204,0.0,19.75,0.0,2.666831016540528,-0.8375146865844727,0.0,14.25,0.0,2.74515151977539,-0.8654096603393555,0.0,20.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.000546513707377,2.951014995574951,-1.084145176410675,-0.000298956525512,0.0223532766103744,-0.0676653534173965,-0.0001721719163469,0.0955951660871505,-0.0805902481079101,0.0,2.8055906295776367,-1.0020235061645508,0.0,18.75,0.0,2.9075145721435547,-1.1397102355957032,0.0,16.0,0.0,2.7347803115844727,-0.8732774734497071,0.0,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.000546513707377,2.951014995574951,-1.084145176410675,-0.000298956525512,0.0223532766103744,-0.0676653534173965,-0.0001721719163469,0.0955951660871505,-0.0805902481079101,0.0,2.9093027114868164,-1.0849931716918946,0.0,16.25,0.0,2.673625946044922,-0.813911247253418,0.0,15.75,0.0,2.747654914855957,-0.7971027374267579,0.0,21.0,0.0,2.8181076049804688,-0.882575798034668,0.0,19.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
