Frame count,tid,posy,posz,vely,velz,accy,accz,pointy0,pointz0,snr0,pointy1,pointz1,snr1,pointy2,pointz2,snr2,pointy3,pointz3,snr3,pointy4,pointz4,snr4,pointy5,pointz5,snr5,pointy6,pointz6,snr6,pointy7,pointz7,snr7,pointy8,pointz8,snr8,pointy9,pointz9,snr9,pointy10,pointz10,snr10,pointy11,pointz11,snr11,pointy12,pointz12,snr12,pointy13,pointz13,snr13,pointy14,pointz14,snr14,pointy15,pointz15,snr15,pointy16,pointz16,snr16,pointy17,pointz17,snr17,pointy18,pointz18,snr18,pointy19,pointz19,snr19,pointy20,pointz20,snr20,pointy21,pointz21,snr21,pointy22,pointz22,snr22,pointy23,pointz23,snr23,pointy24,pointz24,snr24,pointy25,pointz25,snr25,pointy26,pointz26,snr26,pointy27,pointz27,snr27,pointy28,pointz28,snr28,pointy29,pointz29,snr29,pointy30,pointz30,snr30,pointy31,pointz31,snr31,pointy32,pointz32,snr32,pointy33,pointz33,snr33,pointy34,pointz34,snr34,pointy35,pointz35,snr35,pointy36,pointz36,snr36,pointy37,pointz37,snr37,pointy38,pointz38,snr38,pointy39,pointz39,snr39,pointy40,pointz40,snr40,pointy41,pointz41,snr41,pointy42,pointz42,snr42,pointy43,pointz43,snr43,pointy44,pointz44,snr44,pointy45,pointz45,snr45,pointy46,pointz46,snr46,pointy47,pointz47,snr47,pointy48,pointz48,snr48,pointy49,pointz49,snr49
39,0,2.81,-1.47,-0.06,-0.04,-0.13,-0.01,2.58,-1.52,11.25,2.62,-1.53,13.25,2.71,-1.53,7.75,3.23,-1.47,10.0,3.44,-1.3800000000000001,9.5,3.56,-1.45,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0,2.81,-1.49,-0.02,-0.07,-0.05,-0.06,2.59,-1.47,10.5,2.66,-1.47,11.5,2.8,-1.49,8.75,3.01,-1.3800000000000001,5.25,3.45,-1.43,9.75,3.59,-1.3800000000000001,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0,2.81,-1.48,0.0,-0.07,-0.01,-0.05,2.63,-1.46,8.75,2.74,-1.44,13.5,2.83,-1.43,12.5,2.96,-1.43,7.5,3.4,-1.53,8.5,3.57,-1.45,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0,2.79,-1.51,-0.04,-0.11,-0.05,-0.08,2.6,-1.68,5.0,2.54,-1.44,16.5,3.23,-1.48,8.0,3.4,-1.53,7.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0,2.77,-1.5,-0.07,-0.08,-0.09,-0.04,2.61,-1.33,6.5,2.65,-1.48,7.25,2.53,-1.46,15.0,2.59,-1.51,24.75,2.62,-1.5,26.75,2.69,-1.5,20.75,3.26,-1.44,8.75,3.38,-1.54,8.0,3.64,-1.28,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0,2.79,-1.49,-0.03,-0.06,-0.03,-0.03,2.72,-1.45,5.5,2.9,-1.33,5.0,2.53,-1.46,15.75,2.59,-1.49,24.75,2.63,-1.5,27.0,2.7,-1.49,21.5,3.25,-1.4000000000000001,9.0,3.39,-1.52,7.5,3.69,-1.13,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,0,2.8,-1.52,0.01,-0.11,0.03,-0.08,2.64,-1.72,8.75,2.83,-1.57,9.75,3.03,-1.4100000000000001,7.5,2.53,-1.46,15.5,2.6,-1.49,25.75,2.62,-1.5,28.0,2.69,-1.5,22.25,3.27,-1.32,8.5,3.43,-1.44,7.5,3.68,-1.17,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,2.82,-1.53,0.05,-0.11,0.07,-0.09,2.74,-1.46,6.25,2.87,-1.48,7.25,2.96,-1.59,5.5,2.61,-1.48,26.5,2.63,-1.5,28.5,2.55,-1.44,15.75,2.69,-1.5,22.5,2.9,-1.45,11.5,3.25,-1.3800000000000001,8.5,3.43,-1.4000000000000001,6.75,3.72,-1.05,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,0,2.87,-1.47,0.13,-0.02,0.14,-0.02,2.68,-1.56,6.25,3.0,-1.19,6.25,3.16,-1.1,6.5,2.6,-1.5,23.5,2.62,-1.53,25.5,2.69,-1.55,20.75,2.54,-1.43,13.75,2.9,-1.47,12.0,3.21,-1.3800000000000001,6.5,3.45,-1.4200000000000002,4.75,3.77,-0.9299999999999999,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,0,2.87,-1.47,0.11,-0.02,0.1,-0.01,2.73,-1.43,5.5,2.85,-1.47,5.5,2.53,-1.47,12.25,2.58,-1.54,23.0,2.61,-1.56,25.0,2.71,-1.53,20.75,2.89,-1.48,12.25,3.8,-0.94,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,0,2.93,-1.4000000000000001,0.19,0.09,0.16,0.07,3.07,-1.05,4.25,3.16,-1.2,5.5,2.52,-1.47,13.0,2.59,-1.53,23.25,2.63,-1.54,25.5,2.71,-1.53,21.25,2.89,-1.48,12.75,3.17,-1.37,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,0,2.95,-1.3900000000000001,0.0,0.0,0.0,0.0,2.6,-1.53,23.5,2.64,-1.54,26.25,2.7,-1.54,22.5,2.55,-1.44,12.25,2.89,-1.46,13.0,3.19,-1.34,6.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,0,2.95,-1.3900000000000001,0.0,0.0,0.0,0.0,2.61,-1.5,25.5,2.63,-1.52,27.5,2.71,-1.53,23.0,2.55,-1.44,14.0,2.92,-1.4200000000000002,14.5,3.17,-1.34,7.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
