tid,posx,posy,posz,velx,vely,velz,accx,accy,accz,pointx1,pointy1,pointz1,doppler1,snr1,pointx2,pointy2,pointz2,doppler2,snr2,pointx3,pointy3,pointz3,doppler3,snr3,pointx4,pointy4,pointz4,doppler4,snr4,pointx5,pointy5,pointz5,doppler5,snr5,pointx6,pointy6,pointz6,doppler6,snr6,pointx7,pointy7,pointz7,doppler7,snr7,pointx8,pointy8,pointz8,doppler8,snr8,pointx9,pointy9,pointz9,doppler9,snr9,pointx10,pointy10,pointz10,doppler10,snr10,pointx11,pointy11,pointz11,doppler11,snr11,pointx12,pointy12,pointz12,doppler12,snr12,pointx13,pointy13,pointz13,doppler13,snr13,pointx14,pointy14,pointz14,doppler14,snr14,pointx15,pointy15,pointz15,doppler15,snr15,pointx16,pointy16,pointz16,doppler16,snr16
0.0,-0.33168312907218933,3.0896806716918945,-0.0005005137645639479,-0.5579239130020142,-0.32350245118141174,-0.0009847065666690469,-0.6555114984512329,-0.1886809766292572,-0.00031970624695532024,0.0,3.188610076904297,-1.2602806091308594,-0.7670041918754578,19.0,0.0,3.2486915588378906,-1.4591217041015625,-0.7670041918754578,14.25,0.0,3.0394792556762695,-0.7503032684326172,-0.5752531439065933,21.0,0.0,3.166794776916504,-0.8096694946289062,-0.5752531439065933,21.0,0.0,2.9507875442504883,-0.3801584243774414,-0.5752531439065933,19.5,0.0,2.8592348098754883,-0.1251697540283203,-0.3835020959377289,16.25,0.0,3.4911632537841797,-2.009868621826172,0.0,14.0,0.0,3.39353084564209,-1.2184381484985352,0.0,19.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-0.48961812257766724,3.0466113090515137,-0.0004618570674210787,-0.7953725457191467,-0.40570858120918274,-0.0008572096703574061,-0.8011800646781921,-0.28998714685440063,-0.00022917124442756176,0.0,3.0183792114257812,-0.9226799011230469,-0.5752531439065933,25.5,0.0,3.0684471130371094,-1.0167360305786133,-0.9587552398443222,25.75,0.0,3.130316734313965,-1.1254549026489258,-0.9587552398443222,18.0,0.0,2.8721094131469727,-0.2346038818359375,-0.3835020959377289,19.75,0.0,2.9622316360473633,-0.2671480178833008,-0.3835020959377289,23.25,0.0,3.4886598587036133,-2.01416015625,0.0,14.0,0.0,3.3763647079467773,-1.3346672058105469,0.0,18.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-0.594611406326294,2.9907233715057373,-0.0004390177200548351,-0.9051424860954285,-0.4943958520889282,-0.0007515266188420355,-0.8197711110115051,-0.3798728585243225,-0.00015539515879936516,0.0,2.865314483642578,-1.2073516845703125,-0.9587552398443222,23.25,0.0,2.941131591796875,-1.3114213943481445,-1.1505062878131866,19.0,0.0,3.096342086791992,-1.3818740844726562,-0.9587552398443222,15.0,0.0,2.882838249206543,-0.5174875259399414,-0.9587552398443222,21.75,0.0,2.7086734771728516,-0.2771615982055664,-0.3835020959377289,16.5,0.0,2.785205841064453,-0.25534629821777344,-0.3835020959377289,22.0,0.0,1.925826072692871,-1.4194250106811523,0.0,14.75,0.0,3.483295440673828,-2.023458480834961,0.0,13.25,0.0,3.397822380065918,-1.2373924255371094,0.0,17.25,0.0,3.3080577850341797,-0.9351968765258789,0.0,17.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-0.7004192471504211,2.9071452617645264,-0.00039089005440473557,-0.9913209676742554,-0.6357478499412537,-0.0006190873100422323,-0.8098671436309814,-0.5248358845710754,-6.951471732463688e-05,0.0,1.8439292907714844,-1.4355182647705078,-0.19175104796886444,15.25,0.0,1.9801855087280273,-1.381516456604004,-0.19175104796886444,19.0,0.0,2.877473831176758,-1.3375282287597656,-0.3835020959377289,15.75,0.0,2.7637481689453125,-1.0875463485717773,-0.7670041918754578,24.75,0.0,2.8231143951416016,-1.165151596069336,-0.7670041918754578,21.75,0.0,2.5162696838378906,-0.75531005859375,-1.1505062878131866,19.25,0.0,2.6875734329223633,-0.8279085159301758,-1.1505062878131866,21.25,0.0,3.372788429260254,-1.3110637664794922,0.0,16.75,0.0,3.290534019470215,-1.050710678100586,0.0,17.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-0.8485752940177917,2.798818826675415,-0.00035782495979219675,-1.1396300792694092,-0.8005906939506531,-0.0005108755431137979,-0.8555746078491211,-0.670805037021637,-2.1387968445196748e-06,0.0,1.8521547317504883,-1.4491081237792969,0.19175104796886444,18.25,0.0,1.937270164489746,-1.4226436614990234,0.19175104796886444,22.5,0.0,2.1529197692871094,-1.3207197189331055,0.19175104796886444,20.75,0.0,2.77554988861084,-1.5946626663208008,0.3835020959377289,13.0,0.0,2.4712085723876953,-1.2617111206054688,-1.5340083837509155,19.5,0.0,2.6285648345947266,-1.349329948425293,-0.9587552398443222,22.0,0.0,2.682209014892578,-1.4487504959106445,-0.9587552398443222,17.0,0.0,1.8585920333862305,-1.3808012008666992,0.0,18.75,0.0,3.1092166900634766,-0.9745359420776367,0.0,16.5,0.0,3.289461135864258,-1.040339469909668,0.0,17.25,0.0,3.3735036849975586,-1.2320280075073242,0.0,15.75,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-1.1672351360321045,2.611210823059082,-0.0002955377858597785,-1.5922040939331055,-1.054431676864624,-0.00037355307722464204,-1.1762254238128662,-0.8544021248817444,7.803223707014695e-05,0.0,2.0209550857543945,-1.1944770812988281,-0.19175104796886444,19.25,0.0,2.078533172607422,-1.1980533599853516,-0.3835020959377289,23.25,0.0,2.1893978118896484,-1.1976957321166992,-0.3835020959377289,21.0,0.0,2.4890899658203125,-1.4333724975585938,-2.109261527657509,14.75,0.0,2.38645076751709,-1.2291669845581055,-0.9587552398443222,17.5,0.0,1.8875598907470703,-1.376509666442871,0.0,20.75,0.0,1.9104480743408203,-1.4287233352661133,0.0,24.25,0.0,3.3402442932128906,-1.361846923828125,0.0,16.25,0.0,3.3981800079345703,-1.5163421630859375,0.0,12.0,0.0,3.08990478515625,-0.98419189453125,0.0,16.75,0.0,3.284454345703125,-1.072525978088379,0.0,16.25,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-1.2963645458221436,2.444814443588257,-0.000261360895819962,-1.6251966953277588,-1.2486567497253418,-0.00027820857940241694,-1.0826406478881836,-0.9785802364349365,0.00012957473518326879,0.0,2.1718740463256836,-1.176595687866211,-0.7670041918754578,20.75,0.0,2.05385684967041,-1.020669937133789,-0.19175104796886444,21.75,0.0,2.0896196365356445,-1.1118650436401367,-0.19175104796886444,23.0,0.0,2.317070960998535,-1.226663589477539,-0.7670041918754578,14.5,0.0,1.887202262878418,-1.3704299926757812,0.0,21.5,0.0,3.086686134338379,-1.017451286315918,0.0,16.5,0.0,3.2569169998168945,-1.0836124420166016,0.0,16.25,0.0,3.338456153869629,-1.226663589477539,0.0,13.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-1.3829700946807861,2.3067593574523926,-0.00023264906485565007,-1.583040714263916,-1.3469703197479248,-0.00019680567493196577,-0.9461467266082764,-0.9765222072601318,0.00016923653311096132,0.0,1.970529556274414,-1.2112855911254883,0.19175104796886444,20.5,0.0,2.072453498840332,-1.186966896057129,0.19175104796886444,23.0,0.0,2.268075942993164,-1.0600090026855469,-0.5752531439065933,21.5,0.0,2.351045608520508,-1.1844635009765625,-0.3835020959377289,17.5,0.0,3.185391426086426,-1.2202262878417969,0.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-1.4625009298324585,2.1972553730010986,-0.00019866798538714647,-1.5389819145202637,-1.365470290184021,-0.00011567862384254113,-0.8346811532974243,-0.8842509984970093,0.00020585684978868812,0.0,3.242611885070801,-1.3321638107299805,-0.7670041918754578,13.5,0.0,3.0205249786376953,-0.9148120880126953,-0.3835020959377289,25.5,0.0,3.082394599914551,-1.0582208633422852,-0.3835020959377289,26.0,0.0,3.1746625900268555,-1.1086463928222656,-0.9587552398443222,21.25,0.0,2.971529960632324,-0.4030466079711914,-0.5752531439065933,22.75,0.0,2.896428108215332,-0.17595291137695312,-0.5752531439065933,17.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-0.7238585352897644,3.0351338386535645,1.650879676162731e-05,-0.5608766674995422,-0.5771514773368835,5.251246693660505e-05,-0.24518966674804688,-0.6790369749069214,1.2155160220572725e-05,0.0,3.039836883544922,-1.387953758239746,0.19175104796886444,16.5,0.0,2.9604434967041016,-0.9198188781738281,-0.9587552398443222,24.75,0.0,3.034830093383789,-1.107931137084961,0.19175104796886444,24.25,0.0,2.865314483642578,-0.5249977111816406,-0.5752531439065933,26.0,0.0,2.740144729614258,-0.3000497817993164,-0.5752531439065933,17.75,0.0,2.7991533279418945,-0.36263465881347656,-0.5752531439065933,25.25,0.0,3.1557083129882812,-0.8093118667602539,0.0,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-0.7712883949279785,2.9724435806274414,1.6718286133254878e-05,-0.573302149772644,-0.6353152990341187,4.767071732203476e-05,-0.2392728179693222,-0.6576202511787415,8.802550837572198e-06,0.0,1.8281936645507812,-1.25885009765625,-0.19175104796886444,12.25,0.0,2.946138381958008,-1.7294883728027344,-0.3835020959377289,14.0,0.0,2.784848213195801,-1.3335943222045898,-1.1505062878131866,16.5,0.0,2.9271841049194336,-1.4208555221557617,-1.342257335782051,15.5,0.0,2.624630928039551,-0.6401538848876953,-1.1505062878131866,16.75,0.0,2.7780532836914062,-0.8096694946289062,-1.1505062878131866,20.75,0.0,2.7283430099487305,-0.6068944931030273,-1.1505062878131866,21.5,0.0,1.8929243087768555,-1.522064208984375,0.0,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-0.8607049584388733,2.8562912940979004,1.6528667401871644e-05,-0.6159218549728394,-0.8518451452255249,4.261257709003985e-05,-0.2200283408164978,-0.8870080709457397,4.890338004770456e-06,0.0,2.2112131118774414,-1.0936260223388672,-0.19175104796886444,15.25,0.0,2.6700496673583984,-1.2377500534057617,-1.9175104796886444,20.25,0.0,2.7544498443603516,-1.3042688369750977,-1.9175104796886444,17.0,0.0,2.8302669525146484,-1.474142074584961,-1.9175104796886444,13.75,0.0,2.441883087158203,-0.9148120880126953,-1.5340083837509155,17.75,0.0,2.5995969772338867,-1.0006427764892578,-1.5340083837509155,18.5,0.0,1.798868179321289,-1.399397850036621,0.0,18.5,0.0,1.7906427383422852,-1.4702081680297852,0.0,18.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-0.9624649882316589,2.695652484893799,1.5788516975590028e-05,-0.656193196773529,-1.1394681930541992,3.696060593938455e-05,-0.18536046147346497,-1.1801364421844482,7.458738764398731e-07,0.0,2.4214982986450195,-1.132965087890625,-1.1505062878131866,13.5,0.0,2.5849342346191406,-1.374363899230957,-0.19175104796886444,13.5,0.0,2.181887626647949,-0.9312629699707031,-1.1505062878131866,14.25,0.0,2.2602081298828125,-0.8994340896606445,-1.1505062878131866,20.75,0.0,2.3224353790283203,-0.8776187896728516,-1.1505062878131866,19.25,0.0,1.9201040267944336,-1.2871026992797852,0.0,20.0,0.0,2.0374059677124023,-1.2356042861938477,0.0,22.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
