tid,posy,posz,vely,velz,accy,accz,pointx1,pointy1,pointz1,doppler1,snr1,pointx2,pointy2,pointz2,doppler2,snr2,pointx3,pointy3,pointz3,doppler3,snr3,pointx4,pointy4,pointz4,doppler4,snr4,pointx5,pointy5,pointz5,doppler5,snr5,pointx6,pointy6,pointz6,doppler6,snr6,pointx7,pointy7,pointz7,doppler7,snr7,pointx8,pointy8,pointz8,doppler8,snr8,pointx9,pointy9,pointz9,doppler9,snr9,pointx10,pointy10,pointz10,doppler10,snr10,pointx11,pointy11,pointz11,doppler11,snr11,pointx12,pointy12,pointz12,doppler12,snr12,pointx13,pointy13,pointz13,doppler13,snr13,pointx14,pointy14,pointz14,doppler14,snr14,pointx15,pointy15,pointz15,doppler15,snr15,pointx16,pointy16,pointz16,doppler16,snr16,pointx17,pointy17,pointz17,doppler17,snr17
0.0,2.027947187423706,0.2017125364392995,-0.1372419595718383,-0.4045084416866302,-0.1258410215377807,-0.5136118531227112,0.0,1.9633769989013672,0.24255771636962892,-0.1917510479688644,22.0,0.0,1.976966857910156,0.2096559524536132,-0.1917510479688644,24.25,0.0,2.031683921813965,0.27617473602294923,-0.1917510479688644,19.0,0.0,2.3642778396606445,-0.9858940124511721,0.0,20.5,0.0,1.9855499267578125,0.25900859832763673,0.0,20.5,0.0,2.0052194595336914,0.2303983688354492,0.0,25.75,0.0,2.046346664428711,0.1706745147705079,0.0,28.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,2.005124568939209,0.20374364480376242,-0.1610851734876632,-0.3801058828830719,-0.1340852677822113,-0.4509868323802948,0.0,1.9426345825195312,0.3434087753295898,-0.1917510479688644,17.0,0.0,1.9415616989135744,0.4135038375854492,-0.1917510479688644,15.25,0.0,2.3682117462158203,-1.0123584747314451,0.0,19.75,0.0,2.207636833190918,-0.1490447998046875,0.0,18.0,0.0,2.054572105407715,0.12525577545166022,0.0,27.0,0.0,1.9998550415039065,0.2396966934204101,0.0,24.75,0.0,1.9783973693847656,0.28976459503173824,0.0,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.9909117221832275,0.2353561155498027,-0.1706559658050537,-0.3041757345199585,-0.1281093508005142,-0.3512945771217346,0.0,1.9669532775878904,0.3473426818847656,-0.1917510479688644,13.5,0.0,2.011299133300781,0.4038478851318359,-0.1917510479688644,18.25,0.0,2.0449161529541016,0.4660751342773437,-0.1917510479688644,15.25,0.0,2.3703575134277344,-0.990185546875,0.0,20.25,0.0,2.227663993835449,-0.2423856735229492,0.0,17.5,0.0,1.992344856262207,0.25865097045898433,0.0,25.25,0.0,2.0399093627929688,0.196781349182129,0.0,26.75,0.0,1.976251602172852,0.269737434387207,0.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.9802309274673464,0.31480282992124553,-0.1693167984485626,-0.1525062620639801,-0.1099764555692672,-0.1985385715961456,0.0,2.0395517349243164,0.4671480178833008,-0.1917510479688644,19.0,0.0,1.9855499267578125,0.6012584686279296,-0.1917510479688644,22.75,0.0,1.9279718399047847,0.6810094833374023,-0.1917510479688644,18.25,0.0,2.0395517349243164,0.1717473983764649,0.0,24.5,0.0,1.9698143005371092,0.29799003601074214,0.0,18.75,0.0,1.976609230041504,0.29298324584960933,0.0,23.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.9950729608535769,0.31945772171020503,-0.1147302240133285,-0.1364253908395767,-0.0302992612123489,-0.1676792502403259,0.0,1.9823312759399412,-0.3993843078613281,0.1917510479688644,14.0,0.0,2.0252466201782227,-0.45767765045166015,0.1917510479688644,13.75,0.0,1.8264055252075195,1.125898551940918,-0.1917510479688644,15.0,0.0,1.866459846496582,1.095857810974121,-0.1917510479688644,12.75,0.0,2.223372459411621,-0.43729286193847655,0.0,17.25,0.0,2.035975456237793,0.1123811721801758,0.0,24.75,0.0,1.9737482070922847,0.20500679016113282,0.0,24.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.985273361206055,0.3726976335048675,-0.1237302795052528,-0.0407512038946151,-0.043627806007862,-0.0767663940787315,0.0,2.040982246398926,0.6309415817260742,-0.1917510479688644,16.0,0.0,1.9218921661376955,0.7207061767578125,-0.1917510479688644,12.5,0.0,1.9898414611816408,0.6824399948120117,-0.1917510479688644,17.75,0.0,2.2323131561279297,-0.42334537506103515,0.0,17.25,0.0,1.9676685333251955,0.2443458557128906,0.0,20.25,0.0,1.9826889038085935,0.2329017639160156,0.0,24.25,0.0,2.040266990661621,0.18712539672851572,0.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.972682237625122,0.3682386696338653,0.0,0.0,0.0,0.0,0.0,2.235889434814453,-0.2584789276123047,0.0,15.5,0.0,1.966238021850586,0.2282526016235351,0.0,19.75,0.0,1.98054313659668,0.21788139343261712,0.0,24.0,0.0,2.0363330841064453,0.1785423278808594,0.0,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.971325159072876,0.3670199334621429,0.0002823567483574,-0.0019250250188633,0.0020554608199745,-0.0013942830264568,0.0,1.9365549087524412,0.2525712966918945,-0.1917510479688644,14.25,0.0,1.9512176513671875,0.4489089965820312,0.1917510479688644,16.75,0.0,2.222299575805664,-0.2953145980834961,0.0,15.25,0.0,1.972317695617676,0.2522136688232421,0.0,19.75,0.0,1.9898414611816408,0.23075599670410152,0.0,24.25,0.0,2.0366907119750977,0.1935626983642579,0.0,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.980751633644104,0.4529513835906982,0.0245576780289411,0.1390622109174728,0.0340214408934116,0.1127201914787292,0.0,2.3099184036254883,-1.1453960418701172,-0.1917510479688644,14.0,0.0,2.450823783874512,-1.0584924697875977,-0.1917510479688644,18.25,0.0,2.51626968383789,-1.0284517288208008,-0.1917510479688644,14.75,0.0,2.0924806594848637,-0.37256221771240233,-0.1917510479688644,12.5,0.0,1.8346309661865237,0.9073879241943359,0.1917510479688644,15.0,0.0,1.8453598022460935,0.8984472274780273,0.1917510479688644,18.5,0.0,1.8614530563354488,1.0060932159423828,0.1917510479688644,12.75,0.0,2.196192741394043,-0.14046173095703118,0.0,17.0,0.0,2.0034313201904297,0.24506111145019532,0.0,25.75,0.0,2.0456314086914062,0.20107288360595701,0.0,27.5,0.0,1.9780397415161133,0.2629425048828125,0.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.9881492853164675,0.45900819897651673,0.0374937616288661,0.1369826942682266,0.0458415076136589,0.1025149971246719,0.0,2.446889877319336,-1.0745857238769532,-0.1917510479688644,17.25,0.0,2.446889877319336,-1.113924789428711,-0.1917510479688644,13.0,0.0,1.9884109497070312,0.2615119934082031,-0.1917510479688644,16.0,0.0,2.010941505432129,0.4177953720092773,0.1917510479688644,22.0,0.0,2.021670341491699,0.5408193588256835,0.1917510479688644,20.0,0.0,2.392888069152832,-0.971588897705078,0.0,19.75,0.0,2.4558305740356445,-1.0127161026000977,0.0,23.75,0.0,2.506256103515625,-1.0023448944091797,0.0,19.5,0.0,2.209067344665528,-0.1401041030883789,0.0,17.25,0.0,1.9748210906982424,0.23683567047119142,0.0,20.0,0.0,2.0045042037963867,0.2232458114624023,0.0,25.25,0.0,2.0520687103271484,0.1517202377319336,0.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,
