tid,posx,posy,posz,velx,vely,velz,accx,accy,accz,pointx1,pointy1,pointz1,doppler1,snr1,pointx2,pointy2,pointz2,doppler2,snr2,pointx3,pointy3,pointz3,doppler3,snr3,pointx4,pointy4,pointz4,doppler4,snr4,pointx5,pointy5,pointz5,doppler5,snr5,pointx6,pointy6,pointz6,doppler6,snr6,pointx7,pointy7,pointz7,doppler7,snr7,pointx8,pointy8,pointz8,doppler8,snr8,pointx9,pointy9,pointz9,doppler9,snr9
0.0,6.328185554593801e-05,3.128411054611206,0.5275704979896545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.147125244140625,0.6616975784301757,0.0,22.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,5.361268631531857e-05,3.124831199645996,0.5212910890579223,-9.347954801341984e-06,-0.024746011942625,-0.0096676778048276,-4.476092726690695e-06,-0.0403274185955524,-0.0087775820866227,0.0,3.197908401489258,0.4918243408203125,-0.1917510479688644,16.0,0.0,3.1964778900146484,0.5483295440673828,-0.1917510479688644,16.75,0.0,3.1585693359375,0.625577163696289,0.0,24.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,5.361268631531857e-05,3.124831199645996,0.5212910890579223,-9.347954801341984e-06,-0.024746011942625,-0.0096676778048276,-4.476092726690695e-06,-0.0403274185955524,-0.0087775820866227,0.0,3.487586975097656,-0.5753372192382813,0.0,19.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,5.361268631531857e-05,3.124831199645996,0.5212910890579223,-9.347954801341984e-06,-0.024746011942625,-0.0096676778048276,-4.476092726690695e-06,-0.0403274185955524,-0.0087775820866227,0.0,3.428936004638672,-0.5946491241455079,0.0,20.5,0.0,3.470420837402344,-0.6629560470581055,0.0,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,4.979048389941454e-05,3.12256121635437,0.4874269783496856,-1.3031532944296488e-05,-0.0358295068144798,-0.0556643083691597,-6.239346475922503e-06,-0.0575823746621608,-0.0412546023726463,0.0,3.1414031982421875,0.2189542770385742,-0.1917510479688644,13.25,0.0,3.4743547439575195,-0.5985830307006836,0.0,20.0,0.0,3.428220748901367,-0.5449388504028321,0.0,21.75,0.0,2.9010772705078125,0.8358623504638671,0.0,15.25,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,4.979048389941454e-05,3.12256121635437,0.4874269783496856,-1.3031532944296488e-05,-0.0358295068144798,-0.0556643083691597,-6.239346475922503e-06,-0.0575823746621608,-0.0412546023726463,0.0,3.13711166381836,0.6888772964477539,0.0,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,4.225749580655247e-05,3.1167283058166504,0.5551807105541229,-1.9180497474735603e-05,-0.020616590976715,0.0362978503108024,-8.77816910360707e-06,-0.0218764916062355,0.0237863808870315,0.0,2.9311180114746094,0.8161928176879882,0.1917510479688644,15.75,0.0,2.990126609802246,0.8458759307861328,0.1917510479688644,15.0,0.0,3.407835960388184,-0.5166862487792969,0.0,20.0,0.0,3.1603574752807617,0.625577163696289,0.0,22.75,0.0,2.9125213623046875,0.762906265258789,0.0,15.0,0.0,2.9854774475097656,0.7990266799926757,0.0,24.75,0.0,3.0351877212524414,0.7811452865600585,0.0,26.75,,,,,,,,,,
0.0,3.4257904189871624e-05,3.130580425262451,0.5460294902324676,-2.591263546491973e-05,0.0170502513647079,0.0258094444870948,-1.162965054390952e-05,0.0282320417463779,0.0193381812423467,0.0,3.158211708068848,0.4596378326416015,0.1917510479688644,20.25,0.0,3.1871795654296875,0.4481937408447265,0.1917510479688644,19.25,0.0,3.0677318572998047,0.6041194915771484,0.1917510479688644,13.5,0.0,3.388524055480957,-0.5503032684326172,0.0,20.25,0.0,3.1614303588867188,0.6034042358398437,0.0,23.5,0.0,2.9189586639404297,0.741090965270996,0.0,15.0,0.0,2.991199493408203,0.783648681640625,0.0,25.0,0.0,3.039836883544922,0.7775690078735351,0.0,27.25,,,,,
0.0,2.913826574513223e-05,3.1233153343200684,0.5993739485740661,-3.0331677407957613e-05,0.0150163434445858,0.0982659235596656,-1.3560118532041088e-05,0.0344294905662536,0.0699733793735504,0.0,3.0509233474731445,0.8194114685058593,0.1917510479688644,19.75,0.0,3.1031370162963867,0.7164146423339843,0.1917510479688644,16.0,0.0,2.9768943786621094,0.9485151290893554,-0.1917510479688644,16.0,0.0,3.390669822692871,-0.5710456848144532,0.0,20.0,0.0,3.483295440673828,-0.5878541946411133,0.0,17.5,0.0,2.922534942626953,0.6903078079223632,0.0,14.5,0.0,2.9990673065185547,0.7278587341308593,0.0,24.0,,,,,,,,,,
0.0,2.663035411387682e-05,3.1108996868133545,0.6426566660404205,-3.247254062443972e-05,0.0022281883284449,0.1568027436733245,-1.4494436982204206e-05,0.0278890542685985,0.1104102432727813,0.0,2.9157400131225586,0.9935762405395507,-0.1917510479688644,16.5,0.0,2.9407739639282227,0.9935762405395507,0.1917510479688644,17.5,0.0,3.395318984985352,-0.5388591766357422,0.0,20.0,0.0,3.4804344177246094,-0.5849931716918946,0.0,17.5,0.0,2.92360782623291,0.6652738571166992,0.0,14.75,0.0,3.010869026184082,0.669207763671875,0.0,23.75,0.0,3.0684471130371094,0.6545450210571289,0.0,26.25,,,,,,,,,,
